split,exercise,best_epoch,stopped_epoch,val_mae,val_rmse,val_r2,val_pcc,test_mae,test_rmse,test_r2,test_pcc,n
test_overall,all,236.0,300.0,0.35181862115859985,0.5057336688041687,0.597151418531699,0.7929395652674802,0.3827400505542755,0.48866719007492065,0.5516525859627555,0.7612540097133264,
test_per_exercise,E0,,,,,,,0.35351046919822693,0.46817654371261597,0.5766305061123979,0.8294086837730091,291.0
test_per_exercise,E1,,,,,,,0.37479689717292786,0.4369099736213684,0.7455602158921075,0.873628912157884,389.0
test_per_exercise,E2,,,,,,,0.2932342290878296,0.3580690026283264,0.3360474286618399,0.9262732520682333,208.0
test_per_exercise,E3,,,,,,,0.4558210074901581,0.5866195559501648,0.07044995308115998,0.5137630226307593,178.0
test_per_exercise,E4,,,,,,,0.47502201795578003,0.4971264600753784,0.4655807804917774,0.7368375661229828,121.0
test_per_exercise,E5,,,,,,,0.35986098647117615,0.43352410197257996,0.281059380579852,0.7650595810367378,337.0
test_per_exercise,E6,,,,,,,0.28607168793678284,0.36974039673805237,0.5079991161399824,0.7173801880540704,182.0
test_per_exercise,E7,,,,,,,0.4705881178379059,0.5909571051597595,0.24344073920850196,0.5300940373273197,172.0
test_per_exercise,E8,,,,,,,0.3763626515865326,0.5255005359649658,0.7121004919450478,0.8776342577479572,211.0
test_per_exercise,E9,,,,,,,0.4524941146373749,0.6191443204879761,-0.2945808783166548,0.5624362673905221,252.0
