split,exercise,best_epoch,stopped_epoch,val_mae,val_rmse,val_r2,val_pcc,test_mae,test_rmse,test_r2,test_pcc,n
test_overall,all,28.0,108.0,0.34482625126838684,0.5188521146774292,0.5759809676352108,0.774966699234358,0.35483646392822266,0.4730050265789032,0.5799318087812486,0.7756671402840275,
test_per_exercise,E0,,,,,,,0.33938300609588623,0.4424276649951935,0.6219190525254114,0.8292084116407877,291.0
test_per_exercise,E1,,,,,,,0.3716185390949249,0.4467109441757202,0.734016722734274,0.8624586466528814,389.0
test_per_exercise,E2,,,,,,,0.2892318069934845,0.36926034092903137,0.293895674615709,0.9326489210292341,208.0
test_per_exercise,E3,,,,,,,0.3954578638076782,0.5130570530891418,0.288964810349696,0.6320275972263057,178.0
test_per_exercise,E4,,,,,,,0.40820494294166565,0.477734237909317,0.5064615372262824,0.7428636756802782,121.0
test_per_exercise,E5,,,,,,,0.2782749831676483,0.3759056031703949,0.45946463925422765,0.762599940621446,337.0
test_per_exercise,E6,,,,,,,0.33697032928466797,0.39970457553863525,0.425023214076225,0.7477650956596383,182.0
test_per_exercise,E7,,,,,,,0.42645928263664246,0.5810276865959167,0.268650944600904,0.5282330527245546,172.0
test_per_exercise,E8,,,,,,,0.32320258021354675,0.5196713805198669,0.7184521701969269,0.8830447531783653,211.0
test_per_exercise,E9,,,,,,,0.4394981861114502,0.6126887202262878,-0.26772525570412165,0.570675455498063,252.0
